"data";"internacoes";"mortes"
2020-11-04;767;69
2020-11-05;771;75
2020-11-06;744;84
2020-11-07;663;95
2020-11-08;675;62
2020-11-09;830;87
2020-11-10;941;80
2020-11-11;930;96
2020-11-12;883;97
2020-11-13;904;103
2020-11-14;819;65
2020-11-15;827;86
2020-11-16;1100;100
2020-11-17;1125;95
2020-11-18;966;87
2020-11-19;926;107
2020-11-20;972;102
2020-11-21;838;95
2020-11-22;872;111
2020-11-23;1079;98
2020-11-24;1138;113
2020-11-25;1117;100
2020-11-26;1008;121
2020-11-27;1024;114
2020-11-28;956;112
2020-11-29;929;135
2020-11-30;1144;141
2020-12-01;1140;148
2020-12-02;1137;154
2020-12-03;1152;144
2020-12-04;1192;145
2020-12-05;986;147
2020-12-06;1007;122
2020-12-07;1229;154
2020-12-08;1206;160
2020-12-09;1257;135
2020-12-10;1153;156
2020-12-11;1085;140
2020-12-12;1065;152
2020-12-13;935;170
2020-12-14;1245;147
2020-12-15;1130;170
2020-12-16;1133;154
2020-12-17;1127;178
2020-12-18;1167;182
2020-12-19;1019;192
2020-12-20;1028;175
2020-12-21;1137;157
2020-12-22;1148;165
2020-12-23;1037;201
2020-12-24;909;154
2020-12-25;911;179
2020-12-26;1081;180
2020-12-27;1022;170
2020-12-28;1335;155
2020-12-29;1227;171
2020-12-30;1136;189
2020-12-31;1018;193
2021-01-01;960;179
2021-01-02;1161;184
2021-01-03;1102;197
2021-01-04;1400;163
2021-01-05;1530;188
2021-01-06;1452;214
2021-01-07;1473;193
2021-01-08;1445;250
2021-01-09;1313;214
2021-01-10;1220;228
2021-01-11;1600;244
2021-01-12;1477;236
2021-01-13;1522;227
2021-01-14;1481;243
2021-01-15;1409;236
2021-01-16;1282;209
2021-01-17;1231;254
2021-01-18;1483;267
2021-01-19;1438;262
2021-01-20;1398;225
2021-01-21;1382;233
2021-01-22;1243;242
2021-01-23;1130;219
2021-01-24;1141;249
2021-01-25;1430;271
2021-01-26;1266;259
2021-01-27;1270;266
2021-01-28;1254;234
2021-01-29;1193;241
2021-01-30;1100;288
2021-01-31;1143;262
2021-02-01;1286;253
2021-02-02;1257;228
2021-02-03;1277;236
2021-02-04;1329;239
2021-02-05;1215;234
2021-02-06;1092;271
2021-02-07;1047;227
2021-02-08;1285;239
2021-02-09;1241;231
2021-02-10;1262;200
2021-02-11;1245;216
2021-02-12;1245;225
2021-02-13;1116;229
2021-02-14;1101;216
2021-02-15;1341;204
2021-02-16;1383;223
2021-02-17;1449;192
2021-02-18;1408;232
2021-02-19;1348;238
2021-02-20;1301;243
2021-02-21;1307;223
2021-02-22;1689;234
2021-02-23;1665;245
2021-02-24;1657;260
2021-02-25;1740;288
2021-02-26;1578;265
2021-02-27;1611;291
2021-02-28;1680;279
2021-03-01;2027;333
2021-03-02;2165;333
2021-03-03;2130;375
2021-03-04;1969;333
2021-03-05;1992;382
2021-03-06;1916;383
2021-03-07;1983;378
2021-03-08;2400;449
2021-03-09;2444;397
2021-03-10;2434;498
2021-03-11;2533;485
2021-03-12;2544;504
2021-03-13;2506;533
2021-03-14;2411;562
2021-03-15;2853;579
2021-03-16;2934;625
2021-03-17;2886;688
2021-03-18;2984;712
2021-03-19;2794;683
2021-03-20;2648;684
2021-03-21;2622;742
2021-03-22;3116;861
2021-03-23;3075;834
2021-03-24;2995;830
2021-03-25;2883;858
2021-03-26;2766;860
2021-03-27;2494;870
2021-03-28;2377;862
2021-03-29;2805;885
2021-03-30;2664;785
2021-03-31;2484;774
2021-04-01;2360;758
2021-04-02;2089;789
2021-04-03;1993;778
2021-04-04;1971;728
2021-04-05;2224;800
2021-04-06;2206;722
2021-04-07;2075;734
2021-04-08;1914;689
2021-04-09;1822;669
2021-04-10;1708;634
2021-04-11;1635;659
2021-04-12;2043;648
2021-04-13;1868;607
2021-04-14;1849;630
2021-04-15;1726;605
2021-04-16;1672;515
2021-04-17;1528;526
2021-04-18;1390;523
2021-04-19;1740;481
2021-04-20;1669;506
2021-04-21;1543;464
2021-04-22;1613;432
2021-04-23;1570;463
2021-04-24;1394;434
2021-04-25;1391;456
2021-04-26;1662;462
2021-04-27;1635;410
2021-04-28;1452;397
2021-04-29;1405;347
2021-04-30;1339;355
2021-05-01;1280;316
2021-05-02;1202;324
2021-05-03;1432;306
2021-05-04;1284;305
2021-05-05;1281;285
